book|chapter|verse|heading
Genesis|39|1|Joseph and Potiphar's Wife
Genesis|40|1|Joseph Interprets Two Prisoners' Dreams
Genesis|41|1|Joseph Interprets Pharaoh's Dreams
Genesis|41|37|Joseph Rises to Power
Genesis|42|1|Joseph's Brothers Go to Egypt
Genesis|43|1|Joseph's Brothers Return to Egypt
Genesis|44|1|Joseph Tests His Brothers
Genesis|45|1|Joseph Provides for His Brothers and Family
Genesis|46|1|Joseph Brings His Family to Egypt
Genesis|46|28|Jacob and Joseph Reunited
Genesis|47|1|Jacob's Family Settles in Goshen
Genesis|47|13|Joseph and the Famine
Genesis|48|1|Jacob Blesses Ephraim and Manasseh
Genesis|49|1|Jacob Blesses His Sons
Genesis|49|28|Jacob's Death and Burial
Genesis|50|15|God's Good Purposes
Genesis|50|22|The Death of Joseph
Exodus|1|1|Israel Increases Greatly in Egypt
Exodus|1|8|Pharaoh Oppresses Israel
Exodus|2|1|The Birth of Moses
Exodus|2|11|Moses Flees to Midian
Exodus|2|23|God Hears Israel's Groaning
Exodus|3|1|The Burning Bush
Exodus|4|1|Moses Given Powerful Signs
Exodus|4|18|Moses Returns to Egypt
Exodus|5|1|Making Bricks Without Straw
Exodus|6|1|God Promises Deliverance
Exodus|6|14|The Genealogy of Moses and Aaron
Exodus|7|1|Moses and Aaron Before Pharaoh
Exodus|7|14|The First Plague: Water Turned to Blood
Exodus|8|1|The Second Plague: Frogs
Exodus|8|16|The Third Plague: Gnats
Exodus|8|20|The Fourth Plague: Flies
Exodus|9|1|The Fifth Plague: Egyptian Livestock Die
Exodus|9|8|The Sixth Plague: Boils
Exodus|9|13|The Seventh Plague: Hail
Exodus|10|1|The Eighth Plague: Locusts
Exodus|10|21|The Ninth Plague: Darkness
Exodus|11|1|A Final Plague Threatened
Exodus|12|1|The Passover
Exodus|12|29|The Tenth Plague: Death of the Firstborn
Exodus|12|33|The Exodus
Exodus|12|43|Institution of the Passover
Exodus|13|1|Consecration of the Firstborn
Exodus|13|3|The Feast of Unleavened Bread
Exodus|13|17|Pillars of Cloud and Fire
Exodus|14|1|Crossing the Red Sea
Exodus|15|1|The Song of Moses
Exodus|15|22|Bitter Water Made Sweet
Exodus|16|1|Bread from Heaven
Exodus|17|1|Water from the Rock
Exodus|17|8|Israel Defeats Amalek
Exodus|18|1|Jethro's Advice
Exodus|19|1|Israel at Mount Sinai
Exodus|20|1|The Ten Commandments
Exodus|20|22|Laws About Altars
Exodus|21|1|Laws About Slaves
Exodus|21|33|Laws About Restitution
Exodus|22|16|Laws About Social Justice
Exodus|23|10|Laws About the Sabbath and Festivals
Exodus|23|20|Conquest of Canaan Promised
Exodus|24|1|The Covenant Confirmed
Exodus|25|1|Contributions for the Sanctuary
Exodus|25|10|The Ark of the Covenant
Exodus|25|23|The Table for Bread
Exodus|25|31|The Golden Lampstand
Exodus|26|1|The Tabernacle
Exodus|27|1|The Bronze Altar
Exodus|27|9|The Court of the Tabernacle
Exodus|27|20|Oil for the Lamp
Exodus|28|1|The Priests' Garments
Exodus|29|1|Consecration of the Priests
Exodus|30|1|The Altar of Incense
Exodus|30|11|The Census Tax
Exodus|30|17|The Bronze Basin
Exodus|30|22|The Anointing Oil and Incense
Exodus|31|1|Oholiab and Bezalel
Exodus|31|12|The Sabbath
Exodus|32|1|The Golden Calf
Exodus|33|1|The Command to Leave Sinai
Exodus|33|7|The Tent of Meeting
Exodus|33|12|Moses' Intercession
Exodus|34|1|Moses Makes New Tablets
Exodus|34|10|The Covenant Renewed
Exodus|34|29|The Shining Face of Moses
Exodus|35|1|Sabbath Regulations
Exodus|35|4|Contributions for the Tabernacle
Exodus|35|30|Construction of the Tabernacle
Exodus|37|1|Making the Ark
Exodus|37|10|Making the Table
Exodus|37|17|Making the Lampstand
Exodus|37|25|Making the Altar of Incense
Exodus|38|1|Making the Altar of Burnt Offering
Exodus|38|8|Making the Bronze Basin
Exodus|38|9|Making the Court
Exodus|38|21|Materials for the Tabernacle
Exodus|39|1|Making the Priestly Garments
Exodus|40|1|The Tabernacle Erected
Exodus|40|34|The Glory of the Lord
Leviticus|1|1|Laws for Burnt Offerings
Leviticus|2|1|Laws for Grain Offerings
Leviticus|3|1|Laws for Peace Offerings
Leviticus|4|1|Laws for Sin Offerings
Leviticus|5|14|Laws for Guilt Offerings
Leviticus|6|8|The Priests and the Offerings
Leviticus|8|1|Consecration of Aaron and His Sons
Leviticus|9|1|The Lord Accepts Aaron's Offering
Leviticus|10|1|The Death of Nadab and Abihu
Leviticus|11|1|Clean and Unclean Animals
Leviticus|12|1|Purification After Childbirth
Leviticus|13|1|Laws About Leprosy
Leviticus|14|1|Laws for Cleansing Lepers
Leviticus|14|33|Laws for Cleansing Houses
Leviticus|15|1|Laws About Bodily Discharges
Leviticus|16|1|The Day of Atonement
Leviticus|17|1|The Place of Sacrifice
Leviticus|17|10|Laws Against Eating Blood
Leviticus|18|1|Unlawful Sexual Relations
Leviticus|19|1|The Lord Is Holy
Leviticus|19|9|Love Your Neighbor as Yourself
Leviticus|19|19|You Shall Keep My Statutes
Leviticus|20|1|Punishment for Child Sacrifice
Leviticus|20|10|Punishments for Sexual Immorality
Leviticus|20|22|You Shall Be Holy
Leviticus|21|1|Holiness and the Priests
Leviticus|22|17|Acceptable Offerings
Leviticus|23|1|Feasts of the Lord
Leviticus|23|3|The Sabbath
Leviticus|23|4|The Passover
Leviticus|23|9|The Feast of Firstfruits
Leviticus|23|15|The Feast of Weeks
Leviticus|23|23|The Feast of Trumpets
Leviticus|23|26|The Day of Atonement
Leviticus|23|33|The Feast of Booths
Leviticus|24|1|The Lamps
Leviticus|24|5|Bread for the Tabernacle
Leviticus|24|10|Punishment for Blasphemy
Leviticus|24|17|An Eye for an Eye
Leviticus|25|1|The Sabbath Year
Leviticus|25|8|The Year of Jubilee
Leviticus|25|23|Redemption of Property
Leviticus|25|35|Kindness for Poor Brothers
Leviticus|25|47|Redeeming a Poor Man
Leviticus|26|1|Blessings for Obedience
Leviticus|26|14|Punishment for Disobedience
Leviticus|27|1|Laws About Vows
Numbers|1|1|A Census of Israel's Warriors
Numbers|1|47|Levites Exempted
Numbers|2|1|Arrangement of the Camp
Numbers|3|1|The Sons of Aaron
Numbers|3|5|Duties of the Levites
Numbers|3|40|Redemption of the Firstborn
Numbers|4|1|Duties of the Kohathites, Gershonites, and Merarites
Numbers|5|1|Unclean People
Numbers|5|5|Confession and Restitution
Numbers|5|11|A Test for Adultery
Numbers|6|1|The Nazirite Vow
Numbers|6|22|Aaron's Blessing
Numbers|7|1|Offerings at the Tabernacle's Consecration
Numbers|8|1|The Seven Lamps
Numbers|8|5|Cleansing of the Levites
Numbers|8|23|Retirement of the Levites
Numbers|9|1|The Passover Celebrated
Numbers|9|15|The Cloud Covering the Tabernacle
Numbers|10|1|The Silver Trumpets
Numbers|10|11|Israel Leaves Sinai
Numbers|11|1|The People Complain
Numbers|11|16|Elders Appointed to Aid Moses
Numbers|11|31|Quail and a Plague
Numbers|12|1|Miriam and Aaron Oppose Moses
Numbers|13|1|Spies Sent into Canaan
Numbers|13|25|Report of the Spies
Numbers|14|1|The People Rebel
Numbers|14|13|Moses Intercedes for the People
Numbers|14|20|God Promises Judgment
Numbers|14|39|Israel Defeated in Battle
Numbers|15|1|Laws About Sacrifices
Numbers|15|22|Laws About Unintentional Sins
Numbers|15|32|A Sabbathbreaker Executed
Numbers|15|37|Tassels on Garments
Numbers|16|1|Korah's Rebellion
Numbers|17|1|Aaron's Staff Buds
Numbers|18|1|Duties of Priests and Levites
Numbers|19|1|Laws for Purification
Numbers|20|1|The Death of Miriam
Numbers|20|2|The Waters of Meribah
Numbers|20|10|Moses Strikes the Rock
Numbers|20|14|Edom Refuses Passage
Numbers|20|22|The Death of Aaron
Numbers|21|1|Arad Destroyed
Numbers|21|4|The Bronze Serpent
Numbers|21|10|The Song of the Well
Numbers|21|21|King Sihon Defeated
Numbers|21|31|King Og Defeated
Numbers|22|1|Balak Summons Balaam
Numbers|22|22|Balaam's Donkey and the Angel
Numbers|23|1|Balaam's First Oracle
Numbers|23|13|Balaam's Second Oracle
Numbers|24|1|Balaam's Third Oracle
Numbers|24|15|Balaam's Final Oracle
Numbers|25|1|Baal Worship at Peor
Numbers|25|10|The Zeal of Phinehas
Numbers|26|1|Census of the New Generation
Numbers|27|1|The Daughters of Zelophehad
Numbers|27|12|Joshua to Succeed Moses
Numbers|28|1|Daily Offerings
Numbers|28|9|Sabbath Offerings
Numbers|28|11|Monthly Offerings
Numbers|28|16|Passover Offerings
Numbers|28|26|Offerings for the Feast of Weeks
Numbers|29|1|Offerings for the Feast of Trumpets
Numbers|29|7|Offerings for the Day of Atonement
Numbers|29|12|Offerings for the Feast of Booths
Numbers|30|1|Men and Vows
Numbers|30|3|Women and Vows
Numbers|31|1|Vengeance on Midian
Numbers|32|1|Reuben and Gad Settle in Gilead
Numbers|33|1|Recounting Israel's Journey
Numbers|33|50|Drive Out the Inhabitants
Numbers|34|1|Boundaries of the Land
Numbers|34|16|List of Tribal Chiefs
Numbers|35|1|Cities for the Levites
Numbers|35|9|Cities of Refuge
Numbers|36|1|Marriage of Female Heirs
Deuteronomy|1|1|The Command to Leave Horeb
Deuteronomy|1|9|Leaders Appointed
Deuteronomy|1|19|Israel's Refusal to Enter the Land
Deuteronomy|1|34|The Penalty for Israel's Rebellion
Deuteronomy|2|1|The Wilderness Years
Deuteronomy|2|26|The Defeat of King Sihon
Deuteronomy|3|1|The Defeat of King Og
Deuteronomy|3|23|Moses Forbidden to Enter the Land
Deuteronomy|4|1|Moses Commands Obedience
Deuteronomy|4|15|Idolatry Forbidden
Deuteronomy|4|32|The Lord Alone Is God
Deuteronomy|4|41|Cities of Refuge
Deuteronomy|4|44|Introduction to the Law
Deuteronomy|5|1|The Ten Commandments
Deuteronomy|6|1|The Greatest Commandment
Deuteronomy|7|1|A Chosen People
Deuteronomy|8|1|Remember the Lord Your God
Deuteronomy|9|1|Not Because of Righteousness
Deuteronomy|9|13|The Golden Calf
Deuteronomy|10|1|New Tablets of Stone
Deuteronomy|10|12|Circumcise Your Heart
Deuteronomy|11|1|Love and Serve the Lord
Deuteronomy|12|1|The Lord's Chosen Place of Worship
Deuteronomy|12|29|Warning Against Idolatry
Deuteronomy|14|1|Clean and Unclean Food
Deuteronomy|14|22|Tithes
Deuteronomy|15|1|The Sabbatical Year
Deuteronomy|16|1|Passover
Deuteronomy|16|9|The Feast of Weeks
Deuteronomy|16|13|The Feast of Booths
Deuteronomy|16|18|Justice
Deuteronomy|16|21|Forbidden Forms of Worship
Deuteronomy|17|8|Legal Decisions by Priests and Judges
Deuteronomy|17|14|Laws Concerning Israel's Kings
Deuteronomy|18|1|Provision for Priests and Levites
Deuteronomy|18|9|Abominable Practices
Deuteronomy|18|15|A New Prophet like Moses
Deuteronomy|19|1|Laws Concerning Cities of Refuge
Deuteronomy|19|14|Property Boundaries
Deuteronomy|19|15|Laws Concerning Witnesses
Deuteronomy|20|1|Laws Concerning Warfare
Deuteronomy|21|1|Atonement for Unsolved Murders
Deuteronomy|21|10|Marrying Female Captives
Deuteronomy|21|15|Inheritance Rights of the Firstborn
Deuteronomy|21|18|A Rebellious Son
Deuteronomy|21|22|A Man Hanged on a Tree Is Cursed
Deuteronomy|22|1|Various Laws
Deuteronomy|22|13|Laws Concerning Sexual Immorality
Deuteronomy|23|1|Those Excluded from the Assembly
Deuteronomy|23|9|Uncleanness in the Camp
Deuteronomy|23|15|Miscellaneous Laws
Deuteronomy|24|1|Laws Concerning Divorce
Deuteronomy|24|5|Miscellaneous Laws
Deuteronomy|25|5|Laws Concerning Levirate Marriage
Deuteronomy|25|11|Miscellaneous Laws
Deuteronomy|26|1|Offerings of Firstfruits and Tithes
Deuteronomy|27|1|The Altar on Mount Ebal
Deuteronomy|27|9|Curses from Mount Ebal
Deuteronomy|28|1|Blessings for Obedience
Deuteronomy|28|15|Curses for Disobedience
Deuteronomy|29|1|The Covenant Renewed in Moab
Deuteronomy|30|1|Repentance and Forgiveness
Deuteronomy|30|11|The Choice of Life and Death
Deuteronomy|31|1|Joshua to Succeed Moses
Deuteronomy|31|9|The Reading of the Law
Deuteronomy|31|14|Joshua Commissioned to Lead Israel
Deuteronomy|31|30|The Song of Moses
Deuteronomy|32|48|Moses' Death Foretold
Deuteronomy|33|1|Moses' Final Blessing on Israel
Deuteronomy|34|1|The Death of Moses
Joshua|1|1|God Commissions Joshua
Joshua|1|10|Joshua Assumes Command
Joshua|2|1|Rahab Hides the Spies
Joshua|3|1|Israel Crosses the Jordan
Joshua|4|1|Twelve Memorial Stones from the Jordan
Joshua|5|1|The New Generation Circumcised
Joshua|5|10|First Passover in Canaan
Joshua|5|13|The Commander of the Lord's Army
Joshua|6|1|The Fall of Jericho
Joshua|7|1|Israel Defeated at Ai
Joshua|7|10|The Sin of Achan
Joshua|8|1|The Fall of Ai
Joshua|8|30|Joshua Renews the Covenant
Joshua|9|1|The Gibeonite Deception
Joshua|10|1|The Sun Stands Still
Joshua|10|16|Five Amorite Kings Executed
Joshua|10|29|Conquest of Southern Canaan
Joshua|11|1|Conquests in Northern Canaan
Joshua|12|1|Kings Defeated by Moses
Joshua|12|7|Kings Defeated by Joshua
Joshua|13|1|Land Still to Be Conquered
Joshua|13|8|The Inheritance East of the Jordan
Joshua|14|1|The Inheritance West of the Jordan
Joshua|14|6|Caleb's Request and Inheritance
Joshua|15|1|The Allotment for Judah
Joshua|16|1|The Allotment for Ephraim and Manasseh
Joshua|18|1|Allotment of the Remaining Land
Joshua|18|11|The Inheritance for Benjamin
Joshua|19|1|The Inheritance for Simeon
Joshua|19|10|The Inheritance for Zebulun
Joshua|19|17|The Inheritance for Issachar
Joshua|19|24|The Inheritance for Asher
Joshua|19|32|The Inheritance for Naphtali
Joshua|19|40|The Inheritance for Dan
Joshua|19|49|The Inheritance for Joshua
Joshua|20|1|The Cities of Refuge
Joshua|21|1|Cities and Pasturelands Allotted to Levi
Joshua|22|1|The Eastern Tribes Return Home
Joshua|22|10|The Eastern Tribes' Altar of Witness
Joshua|23|1|Joshua's Charge to Israel's Leaders
Joshua|24|1|The Covenant Renewal at Shechem
Joshua|24|14|Choose Whom You Will Serve
Joshua|24|29|Joshua’s Death and Burial
Judges|1|1|The Continuing Conquest of Canaan
Judges|1|27|Failure to Complete the Conquest
Judges|2|1|Israel's Disobedience
Judges|2|6|The Death of Joshua
Judges|2|11|Israel's Unfaithfulness
Judges|2|16|The Lord Raises Up Judges
Judges|3|7|Othniel
Judges|3|12|Ehud
Judges|3|31|Shamgar
Judges|4|1|Deborah and Barak
Judges|5|1|The Song of Deborah and Barak
Judges|6|1|Midian Oppresses Israel
Judges|6|11|The Call of Gideon
Judges|6|28|Gideon Destroys the Altar of Baal
Judges|6|36|The Sign of the Fleece
Judges|7|1|Gideon's Three Hundred Men
Judges|7|19|Gideon Defeats Midian
Judges|8|1|Gideon Defeats Zebah and Zalmunna
Judges|8|22|Gideon's Ephod
Judges|8|29|The Death of Gideon
Judges|9|1|Abimelech's Conspiracy
Judges|9|22|The Downfall of Abimelech
Judges|10|1|Tola and Jair
Judges|10|6|Further Disobedience and Oppression
Judges|11|1|Jephthah Delivers Israel
Judges|11|29|Jephthah's Tragic Vow
Judges|12|1|Jephthah's Conflict with Ephraim
Judges|12|8|Ibzan, Elon, and Abdon
Judges|13|1|The Birth of Samson
Judges|14|1|Samson's Marriage
Judges|15|1|Samson Defeats the Philistines
Judges|16|1|Samson and Delilah
Judges|16|23|The Death of Samson
Judges|17|1|Micah and the Levite
Judges|18|1|Danites Take the Levite and the Idol
Judges|19|1|A Levite and His Concubine
Judges|19|22|Gibeah's Crime
Judges|20|1|Israel's War with the Tribe of Benjamin
Judges|21|1|Wives Provided for the Tribe of Benjamin
Ruth|1|1|Naomi Widowed
Ruth|1|6|Ruth's Loyalty to Naomi
Ruth|1|19|Naomi and Ruth Return
Ruth|2|1|Ruth Meets Boaz
Ruth|3|1|Ruth and Boaz at the Threshing Floor
Ruth|4|1|Boaz Redeems Ruth
Ruth|4|13|Ruth and Boaz Marry
Ruth|4|18|The Genealogy of David
1 Samuel|1|1|The Birth of Samuel
1 Samuel|1|21|Samuel Given to the Lord
1 Samuel|2|1|Hannah's Prayer
1 Samuel|2|12|Eli's Worthless Sons
1 Samuel|2|22|Eli Rebukes His Sons
1 Samuel|2|27|The Lord Rejects Eli's Household
1 Samuel|3|1|The Lord Calls Samuel
1 Samuel|4|1|The Philistines Capture the Ark
1 Samuel|4|12|The Death of Eli
1 Samuel|5|1|The Philistines and the Ark
1 Samuel|6|1|The Ark Returned to Israel
1 Samuel|7|3|Samuel Judges Israel
1 Samuel|8|1|Israel Demands a King
1 Samuel|8|10|Samuel's Warning Against Kings
1 Samuel|8|19|The Lord Grants Israel's Request
1 Samuel|9|1|Saul Chosen to Be King
1 Samuel|10|1|Saul Anointed King
1 Samuel|10|17|Saul Proclaimed King
1 Samuel|11|1|Saul Defeats the Ammonites
1 Samuel|11|12|The Kingdom Is Renewed
1 Samuel|12|1|Samuel's Farewell Address
1 Samuel|13|1|Saul Fights the Philistines
1 Samuel|13|8|Saul's Unlawful Sacrifice
1 Samuel|14|1|Jonathan Defeats the Philistines
1 Samuel|14|24|Saul's Rash Vow
1 Samuel|14|47|Saul Fights Israel's Enemies
1 Samuel|15|1|The Lord Rejects Saul
1 Samuel|16|1|David Anointed King
1 Samuel|16|14|David in Saul's Service
1 Samuel|17|1|David and Goliath
1 Samuel|18|1|David and Jonathan's Friendship
1 Samuel|18|6|Saul's Jealousy of David
1 Samuel|18|17|David Marries Michal
1 Samuel|19|1|Saul Tries to Kill David
1 Samuel|20|1|Jonathan Warns David
1 Samuel|21|1|David and the Holy Bread
1 Samuel|21|10|David Flees to Gath
1 Samuel|22|1|David at the Cave of Adullam
1 Samuel|22|6|Saul Kills the Priests at Nob
1 Samuel|23|1|David Saves the City of Keilah
1 Samuel|23|15|Saul Pursues David
1 Samuel|24|1|David Spares Saul's Life
1 Samuel|25|1|The Death of Samuel
1 Samuel|25|1|David and Abigail
1 Samuel|26|1|David Spares Saul Again
1 Samuel|27|1|David Flees to the Philistines
1 Samuel|28|1|Saul and the Medium of En-dor
1 Samuel|29|1|The Philistines Reject David
1 Samuel|30|1|David's Wives Are Captured
1 Samuel|30|16|David Defeats the Amalekites
1 Samuel|31|1|The Death of Saul
2 Samuel|1|1|David Hears of Saul's Death
2 Samuel|1|17|David's Lament for Saul and Jonathan
2 Samuel|2|1|David Anointed King of Judah
2 Samuel|2|8|Ish-bosheth Made King of Israel
2 Samuel|2|12|The Battle of Gibeon
2 Samuel|3|1|Abner Joins David
2 Samuel|3|26|Joab Murders Abner
2 Samuel|3|31|David Mourns Abner
2 Samuel|4|1|Ish-bosheth Murdered
2 Samuel|5|1|David Anointed King of Israel
2 Samuel|5|17|David Defeats the Philistines
2 Samuel|6|1|The Ark Brought to Jerusalem
2 Samuel|6|5|Uzzah and the Ark
2 Samuel|6|16|David and Michal
2 Samuel|7|1|The Lord's Covenant with David
2 Samuel|7|18|David's Prayer of Gratitude
2 Samuel|8|1|David's Victories
2 Samuel|8|15|David's Officials
2 Samuel|9|1|David's Kindness to Mephibosheth
2 Samuel|10|1|David Defeats Ammon and Syria
2 Samuel|11|1|David and Bathsheba
2 Samuel|12|1|Nathan Rebukes David
2 Samuel|12|15|David's Child Dies
2 Samuel|12|24|Solomon's Birth
2 Samuel|12|26|Rabbah Is Captured
2 Samuel|13|1|Amnon and Tamar
2 Samuel|13|23|Absalom Murders Amnon
2 Samuel|13|34|Absalom Flees to Geshur
2 Samuel|14|1|Absalom Returns to Jerusalem
2 Samuel|15|1|Absalom's Conspiracy
2 Samuel|15|13|David Flees Jerusalem
2 Samuel|16|1|David and Ziba
2 Samuel|16|5|Shimei Curses David
2 Samuel|16|15|Absalom Enters Jerusalem
2 Samuel|17|1|Hushai Saves David
2 Samuel|18|1|Absalom Killed
2 Samuel|18|19|David Hears of Absalom's Death
2 Samuel|18|31|David's Grief
2 Samuel|19|1|Joab Rebukes David
2 Samuel|19|8|David Returns to Jerusalem
2 Samuel|19|16|David Pardons His Enemies
2 Samuel|20|1|The Rebellion of Sheba
2 Samuel|21|1|David Avenges the Gibeonites
2 Samuel|21|15|War with the Philistines
2 Samuel|22|1|David's Song of Deliverance
2 Samuel|23|1|The Last Words of David
2 Samuel|23|8|David's Mighty Men
2 Samuel|24|1|David's Census
2 Samuel|24|10|The Lord's Judgment of David's Sin
2 Samuel|24|18|David Builds an Altar
1 Kings|1|1|David in His Old Age
1 Kings|1|5|Adonijah Sets Himself Up as King
1 Kings|1|11|Nathan and Bathsheba Before David
1 Kings|1|28|Solomon Anointed King
1 Kings|2|1|David's Instructions to Solomon
1 Kings|2|10|The Death of David
1 Kings|2|13|Solomon's Reign Established
1 Kings|3|1|Solomon's Prayer for Wisdom
1 Kings|3|16|Solomon's Wisdom
1 Kings|4|1|Solomon's Officials
1 Kings|4|20|Solomon's Wealth and Wisdom
1 Kings|5|1|Preparations for Building the Temple
1 Kings|6|1|Solomon Builds the Temple
1 Kings|7|1|Solomon Builds His Palace
1 Kings|7|13|The Temple Furnishings
1 Kings|8|1|The Ark Brought into the Temple
1 Kings|8|12|Solomon Blesses the Lord
1 Kings|8|22|Solomon's Prayer of Dedication
1 Kings|8|54|Solomon's Benediction
1 Kings|8|62|Solomon's Sacrifices
1 Kings|9|1|The Lord Appears to Solomon
1 Kings|9|10|Solomon's Other Acts
1 Kings|10|1|The Queen of Sheba
1 Kings|10|14|Solomon's Great Wealth
1 Kings|11|1|Solomon Turns from the Lord
1 Kings|11|9|The Lord Raises Adversaries
1 Kings|12|1|Rehoboam's Folly
1 Kings|12|16|The Kingdom Divided
1 Kings|12|25|Jeroboam's Golden Calves
1 Kings|13|1|A Man of God Confronts Jeroboam
1 Kings|13|11|The Prophet's Disobedience
1 Kings|14|1|Prophecy Against Jeroboam
1 Kings|14|19|The Death of Jeroboam
1 Kings|14|21|Rehoboam Reigns in Judah
1 Kings|15|1|Abijam Reigns in Judah
1 Kings|15|9|Asa Reigns in Judah
1 Kings|15|25|Nadab Reigns in Israel
1 Kings|15|33|Baasha Reigns in Israel
1 Kings|16|8|Elah Reigns in Israel
1 Kings|16|15|Zimri Reigns in Israel
1 Kings|16|21|Omri Reigns in Israel
1 Kings|16|29|Ahab Reigns in Israel
1 Kings|17|1|Elijah Predicts a Drought
1 Kings|17|8|The Widow of Zarephath
1 Kings|17|17|Elijah Raises the Widow's Son
1 Kings|18|1|Elijah Confronts Ahab
1 Kings|18|20|The Prophets of Baal Defeated
1 Kings|18|41|The Lord Sends Rain
1 Kings|19|1|Elijah Flees Jezebel
1 Kings|19|9|The Lord Speaks to Elijah
1 Kings|19|19|The Call of Elisha
1 Kings|20|1|Ahab's Wars with Syria
1 Kings|20|13|Ahab Defeats Ben-hadad
1 Kings|20|26|Ahab Defeats Ben-hadad Again
1 Kings|20|35|A Prophet Condemns Ben-hadad's Release
1 Kings|21|1|Naboth's Vineyard
1 Kings|21|17|The Lord Condemns Ahab
1 Kings|21|25|Ahab's Repentance
1 Kings|22|1|Ahab and the False Prophets
1 Kings|22|13|Micaiah Prophesies Against Ahab
1 Kings|22|29|Ahab Killed in Battle
1 Kings|22|41|Jehoshaphat Reigns in Judah
1 Kings|22|51|Ahaziah Reigns in Israel
2 Kings|1|1|Elijah Denounces Ahaziah
2 Kings|2|1|Elijah Taken to Heaven
2 Kings|2|15|Elisha Succeeds Elijah
2 Kings|3|1|Moab Rebels Against Israel
2 Kings|4|1|Elisha and the Widow's Oil
2 Kings|4|8|Elisha and the Shunammite Woman
2 Kings|4|18|Elisha Raises the Shunammite's Son
2 Kings|4|38|Elisha Purifies the Deadly Stew
2 Kings|5|1|Naaman Healed of Leprosy
2 Kings|5|15|Gehazi's Greed and Punishment
2 Kings|6|1|The Axe Head Recovered
2 Kings|6|8|Horses and Chariots of Fire
2 Kings|6|24|Ben-hadad's Siege of Samaria
2 Kings|7|1|Elisha Promises Food
2 Kings|7|3|The Syrians Flee
2 Kings|8|1|The Shunammite's Land Restored
2 Kings|8|7|Hazael Murders Ben-hadad
2 Kings|8|16|Jehoram Reigns in Judah
2 Kings|8|25|Ahaziah Reigns in Judah
2 Kings|9|1|Jehu Anointed King of Israel
2 Kings|9|14|Jehu Assassinates Joram and Ahaziah
2 Kings|9|30|Jehu Executes Jezebel
2 Kings|10|1|Jehu Slaughters Ahab's Descendants
2 Kings|10|18|Jehu Strikes Down the Prophets of Baal
2 Kings|10|28|Jehu Reigns in Israel
2 Kings|11|1|Athaliah Reigns in Judah
2 Kings|11|4|Joash Anointed King in Judah
2 Kings|11|21|Jehoash Reigns in Judah
2 Kings|12|4|Jehoash Repairs the Temple
2 Kings|12|19|The Death of Joash
2 Kings|13|1|Jehoahaz Reigns in Israel
2 Kings|13|10|Jehoash Reigns in Israel
2 Kings|13|14|The Death of Elisha
2 Kings|14|1|Amaziah Reigns in Judah
2 Kings|14|23|Jeroboam II Reigns in Israel
2 Kings|15|1|Azariah Reigns in Judah
2 Kings|15|8|Zechariah Reigns in Israel
2 Kings|15|13|Shallum Reigns in Israel
2 Kings|15|17|Menahem Reigns in Israel
2 Kings|15|23|Pekahiah Reigns in Israel
2 Kings|15|27|Pekah Reigns in Israel
